List status,Desirability,Tier,Admission likelihood,Warnings,University,Course,Course at a glance,Country,City,Student life,Subject rank,Overall rank,Entry requirements,Student grades,Grades vs entry bar,English req,Annual tuition,Total tuition,Est. living/yr,Duration (yrs),Approx total (MYR),Scholarship & portal,Scholarship coverage,Scholarship competitiveness,How to get the scholarship,Money to show (visa),Work rights after graduating,Recognised in Malaysia?,How to apply,Key deadline,Intake,Notes,Course URL,Info source
Longlist,69,B,Match,,University of Southampton,BSc Computer Science,,UK,Southampton,,Southampton UK top-10 for CS/Electronics,QS ~#80,AAA - AAB incl Mathematics (indicative),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Meets,IELTS 6.5 (6.0) typical,GBP 28900,GBP 86700,GBP 12000,3,723930,Southampton Vice-Chancellor's international awards (partial) — Southampton scholarships portal,,,,~GBP 12000/yr living shown for Student visa,Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; CS/DS unregulated,UCAS,2027-01-15,2027 Sept,,https://www.southampton.ac.uk/courses/computer-science-degree-bsc,Not verified
Longlist,69,B,Safety,,University of Southampton,BSc Mathematics with Data Science,,UK,Southampton,,Southampton UK top-10 CS; strong Maths,QS ~#80,AAB incl A in Mathematics (indicative),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Above,IELTS 6.5 (6.0) typical,GBP 28900,GBP 86700,GBP 12000,3,723930,Southampton Vice-Chancellor's international awards (partial) — Southampton scholarships portal,,,,~GBP 12000/yr living shown for Student visa,Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; Data Science unregulated,UCAS,2027-01-15,2027 Sept,A dedicated Maths-with-Data-Science BSc at a top-10 CS school; AAB incl A Maths -> he MEETS -> SAFETY. Good balance of subject reputation and reachability.,https://www.southampton.ac.uk/courses/maths-with-data-science-degree-bsc,Not verified
Longlist,68,B,Safety,,"City St George's, University of London",BSc Data Science,,UK,London,,City strong for business/informatics; mid-ranked,QS ~#350,ABB incl Mathematics (indicative),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Above,IELTS 6.5 (6.0) typical,GBP 24000,GBP 72000,GBP 15500,3,699150,City international undergraduate scholarships (partial) — City scholarships portal,,,,~GBP 13347/yr living shown (London rate) for Student visa,Graduate Route post-study work (currently ~2 yrs; being reduced — confirm),UK degree — MQA generally recognises; Data Science unregulated,UCAS,2027-01-15,2027 Sept,"London location, dedicated Data Science BSc, lower entry (ABB) -> SAFETY (he is well above). Cheaper tuition than the Russell Group London options but London living is high. Ranking is modest.",https://www.ucas.com/explore/courses/5f8ea4dc-e3f9-4cd3-b4d6-045fe04fc32f/course,Not verified
Longlist,79,A,Reach,Over budget,Cornell University,BA Statistical Science / BS Information Science (data science concentration),,USA,"Ithaca, New York",,World-leading for statistics/ORIE; Bowers College of Computing and Information Science,QS ~#16,Holistic; no fixed grade cutoff. ~7% admit. SAT/ACT REQUIRED for Fall 2026 entry onward (reinstated),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 71000,USD 284000,USD 21000,4,1729600,"Cornell need-based grant — CSS Profile required, via finaid.cornell.edu/first-year-and-transfer-students-international","Meets 100% of demonstrated need, but the package mixes grants with work-study and some loans — not all grant.","Aid is guaranteed once admitted, but admission is need-AWARE for internationals: requesting aid is explicitly 'one factor amongst many' in the decision.",Complete the CSS Profile when applying for admission. Note the trade-off: asking for aid measurably lowers his admission odds here.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-02,2027 Fall,,https://finaid.cornell.edu/first-year-and-transfer-students-international,Not verified
Longlist,75,A,Reach,Over budget,Washington University in St. Louis,BS Data Science,,USA,"St. Louis, Missouri",,Strong CSE school; dedicated Data Science BS,QS ~#100; US News national top-25,Holistic; ~12% admit. Test-optional,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 68000,USD 272000,USD 21000,4,1673200,"WashU need-based aid — CSS Profile, via financialaid.washu.edu/apply-for-aid/international-applicant-process/","Meets 100% of demonstrated need WITHOUT loans for all admitted undergraduates — grants, not debt.",Meets-full-need without loans is a strong commitment; admission is the barrier. Merit scholarships also exist for internationals.,Submit the CSS Profile with the admission application by the published aid deadline. First-year international applicants ARE eligible (transfers are not).,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-02,2027 Fall,,https://cse.washu.edu/academics/undergraduate/BS-Data-Science.html,Not verified
Longlist,75,A,Reach,Over budget,Northwestern University,BA/BS Data Science (Department of Statistics and Data Science),,USA,"Evanston, Illinois",,Strong Statistics and Data Science department with a dedicated Data Science major,QS ~#50; US News national top-10,Holistic; ~7% admit. Test-optional,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 70000,USD 280000,USD 22000,4,1729600,Northwestern need-based aid — CSS Profile via undergradaid.northwestern.edu,Meets 100% of demonstrated need for admitted students; international applicants are eligible but the pool is limited.,Need-aware for internationals; the aid pool for non-US citizens is materially smaller than the domestic one.,Indicate aid interest on the Common App and file the CSS Profile by the round deadline.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-02,2027 Fall,,https://catalogs.northwestern.edu/undergraduate/arts-sciences/statistics-data-science/data-science-major/,Not verified
Longlist,75,A,Reach,Over budget,Duke University,BS Statistical Science,,USA,"Durham, North Carolina",,Statistical Science is a top-tier US department,QS ~#50; US News national top-10,"Holistic; ~6% admit overall — but aid-seeking internationals are judged in a SEPARATE, far smaller pool. Test-optional","AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 69000,USD 276000,USD 22000,4,1710800,"Karsh Office of Undergraduate Financial Support — CSS Profile, via financialaid.duke.edu/international-students/","Meets 100% of demonstrated need for eight semesters, awarded as a four-year package that auto-renews.",BRUTAL: Duke expects to enrol only 20-25 aid-receiving international students PER YEAR across the whole university.,MUST tick the financial-aid interest box on the admission application — students admitted having declared 'no financial aid interest' are permanently ineligible for aid in ANY undergraduate year.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-02,2027 Fall,,https://financialaid.duke.edu/international-students/,Not verified
Longlist,75,A,Reach,Over budget,Brown University,BS Applied Mathematics-Computer Science / Data Science,,USA,"Providence, Rhode Island",,Strong Applied Maths + Data Science Initiative,QS ~#60; Ivy League,Holistic; ~5.2% admit — ABOVE his 5% cutoff but only just. SAT/ACT REQUIRED (reinstated for Fall 2025 onward),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 71000,USD 284000,USD 21000,4,1729600,Brown need-based aid — CSS Profile via financialaid.brown.edu,Meets 100% of demonstrated need;,Aid guaranteed once admitted and need-blind — but the ~5.2% admit rate is the tightest on his list.,Indicate aid interest and file the CSS Profile by the round deadline.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-01,2027 Fall,,https://www.brown.edu/academics/data-science/,Not verified
Longlist,72,B,Reach,Over budget,Dartmouth College,BA Quantitative Social Science (QSS) / Computer Science,,USA,"Hanover, New Hampshire",,Ivy League; QSS is a niche but well-regarded quantitative programme,QS ~#200; US News national top-15,Holistic; no fixed grade cutoff. ~6% admit. SAT/ACT REQUIRED (test-optional policy reversed for Fall 2025 onward),"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS ~7.0 typical (no fixed minimum published),USD 70000,USD 280000,USD 22000,4,1729600,"Need-based Dartmouth scholarship (grant, never repaid) — apply via CSS Profile alongside the Common App at financialaid.dartmouth.edu/apply-aid/international-students",Meets 100% of demonstrated need; loans eliminated from packages.,"Aid itself is guaranteed once admitted — the competition is the ~6% admission, not the money.",Indicate aid interest on the Common App and submit the CSS Profile by the admission-round deadline.,Reduced to the family contribution once aid is awarded;,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs (QSS/CS are STEM-designated);,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-01,2027 Fall,,https://admissions.dartmouth.edu/apply-dartmouth/universal-need-blind-policy,Not verified
Longlist,72,B,Reach,Over budget,Emory University,BS Quantitative Sciences (QTM — Quantitative Theory and Methods),,USA,"Atlanta, Georgia",,"QTM is a distinctive, well-regarded applied data-science department",QS ~#150; US News national top-25,Holistic; ~11% admit. Test-optional,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 65000,USD 260000,USD 20000,4,1598000,Emory need-based aid for internationals + Emory University Scholar Programs (merit) — CSS Profile via studentaid.emory.edu/undergraduate/apply/new-students/international.html,Need-based awards to a select few internationals each year — no full-need guarantee. Merit can reach full tuition.,"Two separate shots: a limited need-based pool AND the Emory Scholars merit programme, for which internationals are eligible.",Must apply REGULAR DECISION to be considered for need-based aid; complete the CSS Profile before 5 February. Apply separately/early for Emory Scholars.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-01,2027 Fall,,https://quantitative.emory.edu/,Not verified
Longlist,72,B,Reach,Over budget,Vanderbilt University,BS Data Science,,USA,"Nashville, Tennessee",,Data Science Institute; undergraduate Data Science major,QS ~#150; US News national top-20,Holistic; ~6% admit. Test-optional,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 66000,USD 264000,USD 21000,4,1635600,Need-based scholarships for internationals (CSS Profile or ISFAA) + Cornelius Vanderbilt Scholarship (merit) — admissions.vanderbilt.edu/affordability/international-costs-and-finances/,Official page: need-based scholarships to 'a limited number' of first-year internationals;,"Need-AWARE for aid-seeking internationals, who are pooled and ranked against each other on academics, leadership and financial need.",Submit the CSS Profile or ISFAA; apply separately for the Cornelius Vanderbilt Scholarship. NOTE: no need-based aid at all for international TRANSFER applicants.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-01,2027 Fall,,https://admissions.vanderbilt.edu/affordability/international-costs-and-finances/,Not verified
Longlist,70,B,Reach,Over budget,Amherst College,BA Statistics,,USA,"Amherst, Massachusetts",,Elite US liberal-arts college; dedicated Statistics department (est. 2025),Not ranked in QS (liberal-arts colleges are excluded); US News #1-3 national liberal arts,Holistic; ~7% admit. Test-optional,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 71000,USD 284000,USD 20000,4,1710800,Amherst need-based aid — CSS Profile via amherst.edu/admission/financialaid,Meets 100% of calculated need for all admitted international students who apply for aid; no-loan packages.,"Aid guaranteed once admitted; Amherst admits internationals WITHOUT regard to financial need (fully need-blind), so requesting aid is free.",Indicate aid interest and file the CSS Profile by the round deadline.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs (Statistics is STEM-designated);,MQA generally recognises accredited US degrees; Data Science unregulated.,Common App,2027-01-01,2027 Fall,,https://www.amherst.edu/academiclife/departments/statistics,Not verified
Longlist,69,B,Reach,Over budget,University of Notre Dame,BS Applied and Computational Mathematics and Statistics (ACMS),,USA,"Notre Dame, Indiana",,ACMS is a solid applied maths/statistics/data-analysis department,QS ~#200; US News national top-20,Holistic; ~12% admit. Test-optional,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 66000,USD 264000,USD 20000,4,1616800,Notre Dame need-based aid — CSS Profile via financialaid.nd.edu,Meets 100% of demonstrated need;,"Aid guaranteed once admitted, and need-blind means requesting it does not hurt his odds. ~12% admit is one of the softer gates among need-blind schools.",Indicate aid interest and file the CSS Profile by the round deadline.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-01,2027 Fall,,https://acms.nd.edu/undergraduate/,Not verified
Longlist,69,B,Reach,Over budget,Rice University,BS Statistics / Data Science,,USA,"Houston, Texas",,Strong statistics and computational science; consistently rated a best-value private,QS ~#100; US News national top-20,Holistic; ~8% admit. Test-optional,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 71140,USD 284560,USD 20530,4,1723396,Rice need-based aid — CSS Profile via financialaid.rice.edu/apply-aid/international-students,Need-based aid to a limited number of international first-years only — no meets-full-need guarantee.,Limited pool.,Submit the CSS Profile with the admission application; internationals compete for a small allocation.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-01,2027 Fall,,https://financialaid.rice.edu/cost-attendance,Not verified
Longlist,66,B,Reach,Over budget,Carnegie Mellon University,BS Statistics and Machine Learning / Computational Data Science,,USA,"Pittsburgh, Pennsylvania",,World top-5 for computer science and data science,QS ~#50; US News CS #1,Holistic; ~11% overall but the School of Computer Science is far tighter (~5%). SAT/ACT required for some colleges,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.5 typical (CMU sets a high bar),USD 68000,USD 272000,USD 20000,4,1654400,NONE available to him — CMU awards no need-based institutional aid to international undergraduates,Zero.,Not applicable — he is ineligible.,"No route. The full ~USD 88,000/yr would be payable from family funds.","Full COA (~USD 88,000/yr) must be shown for the student visa",student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated — no professional-body gate,Common App,2027-01-01,2027 Fall,,https://www.cmu.edu/,Not verified
Longlist,61,B,Reach,Over budget,University of Richmond,BS Mathematics / Computer Science with the Data Science & Statistics minor,,USA,"Richmond, Virginia",,"Well-regarded small private; data science is a MINOR, not a major",Not ranked in QS; US News ~top-25 national liberal arts,"Holistic; ~22% admit overall — but need-aware for internationals, so the aid-seeking rate is lower. Test-optional","AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 66000,USD 264000,USD 16000,4,1541600,Richmond need-based aid + merit scholarships (Richmond Scholars) — financialaid.richmond.edu/applying/international.html,"Meets full need for all admitted students, internationals included. Average international award 2025-26: USD 69,900.",Need-AWARE: 'a student's ability to pay for four years will be considered during the admission review'.,Submit the Certification of Financial Responsibility (required for all non-US citizens) plus the need-based aid forms.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated. NOTE: low name-recognition with Malaysian employers,Common App,2026-12-01,2027 Fall,,https://datascience.richmond.edu/,Not verified
Longlist,60,B,Reach,Over budget,Grinnell College,BA Computer Science / Mathematics (statistics and data-science coursework),,USA,"Grinnell, Iowa",,Liberal-arts college with an unusually strong CS department and a large endowment per student,Not ranked in QS; US News ~top-15 national liberal arts,Holistic; ~11% admit. Test-optional,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Not published,IELTS 7.0 typical,USD 70000,USD 280000,USD 18000,4,1654400,Grinnell need-based aid + merit — CSS Profile via grinnell.edu/admission/apply/international,"Among the most generous liberal-arts colleges to internationals, but need-aware — asking for aid is an admission factor.","Generous relative to peers thanks to a very large per-student endowment, but need-aware for internationals.",File the CSS Profile with the admission application.,Family contribution after aid; full COA otherwise for the student visa,student visa post-study work permit 12 months + 24-month science post-study work extension = 3 yrs; employer-sponsored work visa lottery thereafter,MQA generally recognises accredited US degrees; Data Science unregulated. NOTE: very low name-recognition with Malaysian employers,Common App,2027-01-01,2027 Fall,,https://www.grinnell.edu/admission/apply/international,Not verified
Shortlist,87,A,Safety,,University of Melbourne,Bachelor of Science (Data Science major),,Australia,Melbourne,Lively Parkville campus beside inner-city Melbourne; cultural and walkable rather than outdoorsy.,QS Data Science & AI 2026 #31 (highest in Australia),QS ~#13,GCE A Level AAB (Melbourne quotes AAB for its IT/Data Science degree package); guaranteed entry Australian entry score 91.00; Units 3&4 maths prerequisite,"AAAB predicted (Maths A, Further Maths A, Chemistry A, Physics B)",Above,IELTS 6.5 overall (6.0 each band),AUD 49188,AUD 147564,AUD 31000,3,745748,"Melbourne International Undergraduate Scholarship — automatic consideration, NO application required",25% fee remission for the duration of the course,At least 110 awarded; automatic consideration on academic merit,No application — all international undergraduate applicants are considered automatically on admission,"AUD 29,710/yr living costs + first-year tuition + return airfare (subclass 500, 2026 figure)","post-study work visa, Post-Higher-Education Work stream — 2 yrs for a bachelor",MQA recognised; strong Malaysian employer recognition; no professional-body gate for Data Science,Direct to University of Melbourne (international),,2027 Semester 2 (late July) — or Semester 1 (Feb 2027) if A-Level results land in time,,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-science/,Not verified
Longlist,85,A,Safety,,Monash University,Bachelor of Applied Data Science,,Australia,Melbourne (Clayton),"Large, suburban Clayton campus in south-east Melbourne — more space and greenery than the inner-city options.",QS Data Science & AI 2026 — 5th in Australia (Monash claims #5 nationally),QS ~#36,Australian Year 12 or equivalent; prerequisite higher-level Mathematics; indicative Australian entry score low-to-mid 80s,"AAAB predicted (Maths A, Further Maths A) — maths prerequisite comfortably met",Above,IELTS 6.5 overall (6.0 each band),AUD 45600,AUD 136800,AUD 31000,3,712380,Monash International Merit Scholarship + 360 other scholarship types,"Varies; Monash advertises scholarships valued up to A$280,000","Merit-based, competitive",Apply via the Monash scholarships portal alongside/after the course application,"AUD 29,710/yr living costs + first-year tuition + return airfare (subclass 500, 2026 figure)","post-study work visa, Post-Higher-Education Work stream — 2 yrs for a bachelor",MQA recognised; very strong Malaysian employer recognition (Monash Malaysia campus is well known at home),Direct to Monash (international),,2027 Semester 2 (July) — Semester 1 (Feb 2027) also offered at Clayton,,https://www.monash.edu/study/courses/find-a-course/applied-data-science-s2010,Not verified
